question,query
Veritabanındaki yaşı 30 olan yöneticilerin ülkelerini yazdır.,SELECT ulke WHERE yas EQL 30
Pozisyonu Clinical Nurse olan hemşirelerin numaralarını listele.,SELECT numara WHERE pozisyon EQL Clinical Nurse
Yeri Izmir olan sinemaların yerlerini listele.,SELECT yer WHERE yer EQL Izmir
Numarası 1 olan insanların numaralarını listele.,SELECT numara WHERE numara EQL 1
Tüm kulüplerin sadece adlarını göster.,SELECT ad
Veritabanındaki telefonu 1 352-295-8921 olan hastaların telefonlarını yazdır.,SELECT telefon WHERE telefon EQL 1 352-295-8921
Departmanların numaralarını getir.,SELECT numara
Çip modeli A15 olan telefonların numaralarını listele.,SELECT numara WHERE cip_modeli EQL A15
Restoranların adlarını getir.,SELECT ad
Ürünler tablosundaki en büyük numarayı göster.,SELECT max(numara)
Tüm uçuşların başlangıçlarını görüntüle.,SELECT baslangic
Uyruğu Amerika olan tüm yüzücülerin numaralarını getir.,SELECT numara WHERE uyruk EQL Amerika
Havalimanlarından iç yolcusu 63648 olan havalimanlarının iç yolcularını getir.,SELECT ic_yolcu WHERE ic_yolcu EQL 63648
En büyük tren numarasını göster.,SELECT max(numara)
Veritabanındaki personel sayısı 12 olan müzelerin personel sayılarını yazdır.,SELECT personel_sayisi WHERE personel_sayisi EQL 12
Kulüpler tablosundan numarası 1 olan kulüplerin adlarını getir.,SELECT ad WHERE numara EQL 1
Insanlardan doğum tarihi 01/04/1990 olan insanların numaralarını getir.,SELECT numara WHERE dogum_tarihi EQL 01/04/1990
Şehirler tablosunda numarası 1 olan şehirlerin adlarını getir.,SELECT ad WHERE numara EQL 1
Numarası 1 olan restoranların numaralarını getir.,SELECT numara WHERE numara EQL 1
Yaşı 34 olan tüm pilotların adlarını getir.,SELECT ad WHERE yas EQL 34
Uçuşlar tablosunda varış tarihi 19/05/2022 14:00 olan uçuşların varış tarihlerini getir.,SELECT varis_tarihi WHERE varis_tarihi EQL 19/05/2022 14:00
Cihazlardan cihazı Apple olan cihazların cihazlarını göster.,SELECT cihaz WHERE cihaz EQL Apple
Stadyumlardan numarası 1 olan stadyumların numaralarını getir.,SELECT numara WHERE numara EQL 1
Numarası 1 olan trenlerin kalkışlarını bul.,SELECT kalkis WHERE numara EQL 1
Çiftlikler tablosunda inek sayısı 10 olan çiftliklerin keçi sayılarını getir.,SELECT keci_sayisi WHERE inek_sayisi EQL 10
Toplam yolcusu 475 olan tüm uçakların açıklamalarını getir.,SELECT aciklama WHERE toplam_yolcu EQL 475
Adı Michael olan insanların numaralarını listele.,SELECT numara WHERE ad EQL Michael
Mağazalar tablosunda adı A Giyim olan mağazaların açılış yıllarını getir.,SELECT acilis_yili WHERE ad EQL A Giyim
Adı Matthew Carter olan oyuncuların numaralarını bul.,SELECT numara WHERE ad EQL Matthew Carter
Uçaklar tablosundan hızı 905 olan uçakların numaralarını getir.,SELECT numara WHERE hiz EQL 905
Inek sayısı 10 olan çiftliklerin keçi sayılarını listele.,SELECT keci_sayisi WHERE inek_sayisi EQL 10
Veritabanındaki cinsiyeti Male olan personellerin e-postalarını yazdır.,SELECT eposta WHERE cinsiyet EQL Male
Arabalardan modeli Mercedes olan arabaların beygir güçlerini göster.,SELECT beygir_gucu WHERE model EQL Mercedes
Kurucusu Union Pacific Corporation olan demiryollarının konumlarını getir.,SELECT konum WHERE kurucu EQL Union Pacific Corporation
Çiftlikler tablosunda numarası 1 olan çiftliklerin domuz sayılarını getir.,SELECT domuz_sayisi WHERE numara EQL 1
Demiryollarından numarası 1 olan demiryollarının konumlarını getir.,SELECT konum WHERE numara EQL 1
Yayınlar tablosunda başlığı Artificial Intelligence olan yayınların yıllarını getir.,SELECT yil WHERE baslik EQL Artificial Intelligence
Yeri Izmir olan tüm sinemaların adlarını getir.,SELECT ad WHERE yer EQL Izmir
Tüm personellerin soyadlarını görüntüle.,SELECT soyad
Havalimanları tablosunda numarası 1 olan havalimanlarının adlarını getir.,SELECT ad WHERE numara EQL 1
Tüm stadyumların adlarını listele.,SELECT ad
Şehiri New York olan öğrencilerin adlarını listele.,SELECT ad WHERE sehir EQL New York
Bütün arabaların modellerini göster.,SELECT model
Tüm pilotların adlarını getir.,SELECT ad
Şarkılar tablosunda türü Slow olan şarkıların adlarını getir.,SELECT ad WHERE tur EQL Slow
Numarası 1 olan yayınların alıntılarını bul.,SELECT alinti WHERE numara EQL 1
Veritabanındaki ürünlerden en büyük numarayı yazdır.,SELECT max(numara)
Uçuşlar tablosundan mesafesi 350 olan uçuşların kalkış tarihlerini getir.,SELECT kalkis_tarihi WHERE mesafe EQL 350
Kitaplar tablosundaki en büyük numarayı getir.,SELECT max(numara)
Adı Gallery of Earth olan müzelerin açılış yıllarını bul.,SELECT acilis_yili WHERE ad EQL Gallery of Earth
Cinsiyeti Erkek olan çalışanların numaralarını getir.,SELECT numara WHERE cinsiyet EQL Erkek
Yüzücüler tablosundan adı Michael Phelps olan yüzücülerin adlarını getir.,SELECT ad WHERE ad EQL Michael Phelps
Cihazlardan cihazı Apple olan cihazların işletim sistemlerini getir.,SELECT isletim_sistemi WHERE cihaz EQL Apple
Pilotlar içerisinde en yüksek yaş kaçtır?,SELECT max(yas)
Bütün arabaların beygir güçlerini göster.,SELECT beygir_gucu
Yöneticilerin düzeylerini göster.,SELECT duzey
Sürücülerden numarası 1 olan sürücülerin tiplerini göster.,SELECT tip WHERE numara EQL 1
Veritabanındaki tüm oyunların adlarını yazdır.,SELECT ad
Adı Formula A olan tüm yarışların numaralarını getir.,SELECT numara WHERE ad EQL Formula A
Ekran modu Big olan tüm telefonların ülkelerini getir.,SELECT ulke WHERE ekran_modu EQL Big
Adı Formula A olan yarışların yıllarını getir.,SELECT yil WHERE ad EQL Formula A
Numarası 1 olan mimarların numaralarını getir.,SELECT numara WHERE numara EQL 1
Adı Camp Nou olan stadyumların kapasitelerini listele.,SELECT kapasite WHERE ad EQL Camp Nou
Soyadı Smith olan öğrencilerin soyadlarını getir.,SELECT soyad WHERE soyad EQL Smith
Domuz sayısı 2 olan çiftliklerin domuz sayılarını listele.,SELECT domuz_sayisi WHERE domuz_sayisi EQL 2
Numarası 1 olan yarışların tarihlerini getir.,SELECT tarih WHERE numara EQL 1
Veritabanındaki numarası 1 olan trenlerin kalkışlarını yazdır.,SELECT kalkis WHERE numara EQL 1
Toplam ürün sayısını bastır.,SELECT count(numara)
Toplam oyun sayısını getir.,SELECT count(numara)
Personellerden e-postası jtaylor@gmail.com olan personellerin numaralarını göster.,SELECT numara WHERE eposta EQL jtaylor@gmail.com
Trenlerden varışı 23:39 olan trenlerin kalkışlarını göster.,SELECT kalkis WHERE varis EQL 23:39
Sürücüler tablosundaki en büyük numarayı getir.,SELECT max(numara)
Bütün hastaların adlarını göster.,SELECT ad
Şehiri Barcelona olan tüm stadyumların numaralarını getir.,SELECT numara WHERE sehir EQL Barcelona
Tüm hastaların numaralarını listele.,SELECT numara
Cinsiyeti Erkek olan öğrencilerin soyadlarını listele.,SELECT soyad WHERE cinsiyet EQL Erkek
Sinemalardan kapasitesi 140 olan sinemaların adlarını göster.,SELECT ad WHERE kapasite EQL 140
Numarası 1 olan uçuşların kalkış tarihlerini listele.,SELECT kalkis_tarihi WHERE numara EQL 1
Hemşire tablosu içerisinde bulunan adları ekrana getir.,SELECT ad
Çiftlikler tablosunda boğa sayısı 5 olan çiftliklerin boğa sayılarını getir.,SELECT boga_sayisi WHERE boga_sayisi EQL 5
Öğretmenlerin yaşlarını göster.,SELECT yas
Telefonu 1 505-644-9320 olan personellerin adlarını getir.,SELECT ad WHERE telefon EQL 1 505-644-9320
Trenler tablosundan kalkışı Chennai olan trenlerin numaralarını getir.,SELECT numara WHERE kalkis EQL Chennai
Insanlar tablosunda numarası 1 olan insanların adlarını getir.,SELECT ad WHERE numara EQL 1
Öğrenciler tablosunda cinsiyeti Erkek olan öğrencilerin şehirlerini getir.,SELECT sehir WHERE cinsiyet EQL Erkek
Toplam öğretmen sayısını göster.,SELECT count(numara)
Bütün dergilerin numaralarını göster.,SELECT numara
Tüm telefonları say.,SELECT count(numara)
Mimarlar tablosundan uyruğu Ingiliz olan mimarların cinsiyetlerini getir.,SELECT cinsiyet WHERE uyruk EQL Ingiliz
Restoranlardan numarası 1 olan restoranların adlarını göster.,SELECT ad WHERE numara EQL 1
Yazarlar tablosunda numarası 1 olan yazarların numaralarını getir.,SELECT numara WHERE numara EQL 1
Tüm kitapların başlıklarını listele.,SELECT baslik
Tüm şarkıların sadece dillerini göster.,SELECT dil
Bütün kitapların yazarlarını göster.,SELECT yazar
Adı A Giyim olan mağazaların adlarını bul.,SELECT ad WHERE ad EQL A Giyim
Yöneticilerden ülkesi America olan yöneticilerin ülkelerini getir.,SELECT ulke WHERE ulke EQL America
Veritabanındaki kategorisi Survival olan oyunların numaralarını yazdır.,SELECT numara WHERE kategori EQL Survival
Çip modeli A15 olan telefonların çip modellerini bul.,SELECT cip_modeli WHERE cip_modeli EQL A15
Numarası 1 olan sinemaların kapasitelerini bul.,SELECT kapasite WHERE numara EQL 1
En büyük pilot yaşını göster.,SELECT max(yas)
Yayınlar tablosundaki en büyük alıntıyı getir.,SELECT max(alinti)
Hastalar tablosunda numarası 1 olan hastaların sigortalarını getir.,SELECT sigorta WHERE numara EQL 1
Kaç şehir var?,SELECT count(numara)
Çiftliklerden at sayısı 2 olan çiftliklerin numaralarını göster.,SELECT numara WHERE at_sayisi EQL 2
Numarası 1 olan çiftliklerin keçi sayılarını getir.,SELECT keci_sayisi WHERE numara EQL 1
Hastaların numaralarını getir.,SELECT numara
Tüm departmanların adlarını getir.,SELECT ad
Çiftlikler tablosunda domuz sayısı 2 olan çiftliklerin inek sayılarını getir.,SELECT inek_sayisi WHERE domuz_sayisi EQL 2
Numarası 1 olan yayınların yayıncılarını bul.,SELECT yayinci WHERE numara EQL 1
Veritabanındaki düzeyi 5 olan yöneticilerin ülkelerini yazdır.,SELECT ulke WHERE duzey EQL 5
Inek sayısı 10 olan çiftliklerin domuz sayılarını listele.,SELECT domuz_sayisi WHERE inek_sayisi EQL 10
Tüm uçuşların numaralarını listele.,SELECT numara
Tüm müşterilerin şehirlerini görüntüle.,SELECT sehir
Projeler tablosunda numarası 1 olan projelerin adlarını getir.,SELECT ad WHERE numara EQL 1
Sinemalardan en büyük kapasiteyi getir.,SELECT max(kapasite)
Adı MATH101 olan tüm derslerin numaralarını getir.,SELECT numara WHERE ad EQL MATH101
Tüm departmanların numaralarını getir.,SELECT numara
Veritabanındaki başlangıç tarihi 05/06/2018 olan projelerin numaralarını yazdır.,SELECT numara WHERE baslangic_tarihi EQL 05/06/2018
Ekran modu Big olan tüm telefonların çip modellerini getir.,SELECT cip_modeli WHERE ekran_modu EQL Big
Veritabanındaki e-postası jtaylor@gmail.com olan personellerin adlarını yazdır.,SELECT ad WHERE eposta EQL jtaylor@gmail.com
Havalimanlarının iç yolcularını getir.,SELECT ic_yolcu
Personel sayısı 12 olan müzelerin numaralarını getir.,SELECT numara WHERE personel_sayisi EQL 12
Adı A Giyim olan tüm mağazaların açılış yıllarını getir.,SELECT acilis_yili WHERE ad EQL A Giyim
Öğretmenler tablosundaki en büyük yaşı getir.,SELECT max(yas)
Köprülerden konumu Beykoz/Istanbul olan köprülerin adlarını getir.,SELECT ad WHERE konum EQL Beykoz/Istanbul
Cihaz tablosu içerisinde bulunan işletim sistemlerini ekrana getir.,SELECT isletim_sistemi
Hemşireler tablosundan kayıdı 01/05/2015 olan hemşirelerin numaralarını getir.,SELECT numara WHERE kayit EQL 01/05/2015
Sanatçılar tablosundan adı Leonardo da Vinci olan sanatçıların cinsiyetlerini getir.,SELECT cinsiyet WHERE ad EQL Leonardo da Vinci
Restoranlar tablosundan adı Burger King olan restoranların tiplerini getir.,SELECT tip WHERE ad EQL Burger King
Soyadı Smith olan öğrencilerin yaşlarını getir.,SELECT yas WHERE soyad EQL Smith
Kodu 204060 olan müşterilerin telefonlarını getir.,SELECT telefon WHERE kod EQL 204060
Alanı 5343 olan tüm şehirlerin nüfuslarını getir.,SELECT nufus WHERE alan EQL 5343
Adı Istanbul Sokaklari olan şarkıların ülkelerini getir.,SELECT ulke WHERE ad EQL Istanbul Sokaklari
Ülkesi Türkiye olan şarkıların ülkelerini bul.,SELECT ulke WHERE ulke EQL Türkiye
Öğretmenler tablosundan şehiri Londra olan öğretmenlerin yaşlarını getir.,SELECT yas WHERE sehir EQL Londra
Sürücülerden numarası 20202020 olan sürücülerin tiplerini göster.,SELECT tip WHERE kod EQL 20202020
Uçuşlardan kalkış tarihi 19/05/2022 13:00 olan uçuşların varışlarını göster.,SELECT varis WHERE kalkis_tarihi EQL 19/05/2022 13:00
Cinsiyeti Male olan personellerin e-postalarını getir.,SELECT eposta WHERE cinsiyet EQL Male
Demiryollarından demiryolu Union Pacific Railroad olan demiryollarının demiryollarını getir.,SELECT demiryolu WHERE demiryolu EQL Union Pacific Railroad
Numarası 1 olan müşterilerin şehirlerini listele.,SELECT sehir WHERE numara EQL 1
Tüm yöneticilerin sadece yaşlarını göster.,SELECT yas
Adı Thomas olan sürücülerin uyruklarını getir.,SELECT uyruk WHERE ad EQL Thomas
Arabalardan ülkesi Almanya olan arabaların yıllarını getir.,SELECT yil WHERE ulke EQL Almanya
Inek sayısı 10 olan çiftliklerin koyun sayılarını bul.,SELECT koyun_sayisi WHERE inek_sayisi EQL 10
Kalkış tarihi 19/05/2022 13:00 olan tüm uçuşların varış tarihlerini getir.,SELECT varis_tarihi WHERE kalkis_tarihi EQL 19/05/2022 13:00
Veritabanındaki yeri Izmir olan sinemaların yerlerini yazdır.,SELECT yer WHERE yer EQL Izmir
Ürünler tablosunda fiyatı 120 olan ürünlerin fiyatlarını getir.,SELECT fiyat WHERE fiyat EQL 120
Öğrenciler tablosundan adı David olan öğrencilerin adlarını getir.,SELECT ad WHERE ad EQL David
Derslerden en büyük krediyi getir.,SELECT max(kredi)
Sinemalar tablosunda adı Cinemaximum olan sinemaların kapasitelerini getir.,SELECT kapasite WHERE ad EQL Cinemaximum
Boğa sayısı 5 olan çiftliklerin keçi sayılarını getir.,SELECT keci_sayisi WHERE boga_sayisi EQL 5
Sanatçısı Muzeyyen Senar olan şarkıların ülkelerini getir.,SELECT ulke WHERE sanatci EQL Muzeyyen Senar
Sinemalar tablosundan numarası 1 olan sinemaların kapasitelerini getir.,SELECT kapasite WHERE numara EQL 1
Adı Michael olan insanların doğum tarihlerini listele.,SELECT dogum_tarihi WHERE ad EQL Michael
Tüm oyuncuların uyruklarını getir.,SELECT uyruk
Personellerin telefonlarını getir.,SELECT telefon
Şarkılar tablosundan ülkesi Türkiye olan şarkıların dillerini getir.,SELECT dil WHERE ulke EQL Türkiye
Tüm müşterilerin sadece kodlarını göster.,SELECT kod
Veritabanındaki varışı 23:39 olan trenlerin kalkışlarını yazdır.,SELECT kalkis WHERE varis EQL 23:39
Öğrencilerden numarası 1 olan öğrencilerin soyadlarını göster.,SELECT soyad WHERE numara EQL 1
Tüm mağazaların adlarını görüntüle.,SELECT ad
Kayıdı 01/05/2015 olan hemşirelerin kayıtlarını getir.,SELECT kayit WHERE kayit EQL 01/05/2015
Veritabanındaki adı Burger King olan restoranların numaralarını yazdır.,SELECT numara WHERE ad EQL Burger King
Çiftlikler tablosunda inek sayısı 10 olan çiftliklerin at sayılarını getir.,SELECT at_sayisi WHERE inek_sayisi EQL 10
Kitaplar tablosundan yazarı Dan Brown olan kitapların kategorilerini getir.,SELECT kategori WHERE yazar EQL Dan Brown
Boğa sayısı 5 olan çiftliklerin numaralarını getir.,SELECT numara WHERE boga_sayisi EQL 5
Domuz sayısı 2 olan çiftliklerin keçi sayılarını getir.,SELECT keci_sayisi WHERE domuz_sayisi EQL 2
Adı Richard olan öğretmenlerin yaşlarını getir.,SELECT yas WHERE ad EQL Richard
Düzeyi 5 olan yöneticilerin adlarını getir.,SELECT ad WHERE duzey EQL 5
Veritabanındaki sanatçısı Muzeyyen Senar olan şarkıların sanatçılarını yazdır.,SELECT sanatci WHERE sanatci EQL Muzeyyen Senar
Yazarların adlarını göster.,SELECT ad
Tüm yöneticilerin adlarını getir.,SELECT ad
Tüm şarkıların çıkış tarihlerini getir.,SELECT cikis_tarihi
Veritabanındaki numarası 1 olan mimarların uyruklarını yazdır.,SELECT uyruk WHERE numara EQL 1
Türü Slow olan tüm şarkıların ülkelerini getir.,SELECT ulke WHERE tur EQL Slow
Filmlerden en büyük numarayı getir.,SELECT max(numara)
En büyük şehir numarasını getir.,SELECT max(numara)
Hemşireler tablosundaki en büyük numarayı getir.,SELECT max(numara)
Kitap tablosu içerisinde bulunan yazarları ekrana getir.,SELECT yazar
Hemşireler tablosundan numarası 1 olan hemşirelerin pozisyonlarını getir.,SELECT pozisyon WHERE numara EQL 1
Trenlerden varışı 23:39 olan trenlerin varışlarını getir.,SELECT varis WHERE varis EQL 23:39
Sinemalardan numarası 1 olan sinemaların yerlerini getir.,SELECT yer WHERE numara EQL 1
Cinsiyeti Erkek olan sanatçıların numaralarını listele.,SELECT numara WHERE cinsiyet EQL Erkek
Numarası 20202020 olan tüm sürücülerin adlarını getir.,SELECT ad WHERE kod EQL 20202020
